chr	start	end	name	score	tissue
chr10	88246002	88246421	Peak_50124	524	adrenal gland
chr10	88254165	88254446	Peak_64709	385	adrenal gland
chr10	88270886	88271669	Peak_143730	119	adrenal gland
chr10	88270886	88271669	Peak_256140	42	adrenal gland
chr10	88271779	88272060	Peak_149572	111	adrenal gland
chr10	88281972	88282246	Peak_247077	44	adrenal gland
chr10	88282380	88282757	Peak_187804	75	adrenal gland
chr10	88282829	88283176	Peak_208115	62	adrenal gland
chr10	88282829	88283176	Peak_228393	53	adrenal gland
chr10	88288525	88289123	Peak_135766	130	adrenal gland
chr10	88288525	88289123	Peak_71212	341	adrenal gland
chr10	88289409	88289705	Peak_131767	137	adrenal gland
chr10	88312891	88313326	Peak_37399	721	adrenal gland
chr10	88343786	88344616	Peak_79228	294	adrenal gland
chr10	88343786	88344616	Peak_93129	234	adrenal gland
chr10	88346429	88347408	Peak_123448	152	adrenal gland
chr10	88346429	88347408	Peak_136159	129	adrenal gland
chr10	88379690	88379902	Peak_192514	70	adrenal gland
chr10	88386859	88388071	Peak_209526	60	adrenal gland
chr10	88386859	88388071	Peak_254815	43	adrenal gland
chr10	88386859	88388071	Peak_6384	1000	adrenal gland
chr10	88402096	88402266	Peak_184485	76	adrenal gland
chr10	88428480	88428855	Peak_133417	133	adrenal gland
chr10	88459436	88459999	Peak_103375	200	adrenal gland
chr10	88474429	88474931	Peak_205571	64	adrenal gland
chr10	88477767	88478003	Peak_131895	136	adrenal gland
chr10	88500144	88500462	Peak_68874	356	adrenal gland
chr10	88525473	88526168	Peak_139753	124	adrenal gland
chr10	88525473	88526168	Peak_70288	346	adrenal gland
chr10	88537993	88538511	Peak_80089	292	adrenal gland
chr10	88541324	88541758	Peak_58588	437	adrenal gland
chr10	88542533	88542794	Peak_208507	61	adrenal gland
chr10	88553167	88553570	Peak_30569	884	adrenal gland
chr10	88557730	88558076	Peak_70825	344	adrenal gland
chr10	87817588	87818809	Peak_16543	1000	heart right ventricle
chr10	87817588	87818809	Peak_5180	1000	heart right ventricle
chr10	87817588	87818809	Peak_84500	388	heart right ventricle
chr10	87817588	87818809	Peak_88898	359	heart right ventricle
chr10	87818953	87819123	Peak_181483	100	heart right ventricle
chr10	87850775	87851285	Peak_267484	45	heart right ventricle
chr10	87850775	87851285	Peak_32298	1000	heart right ventricle
chr10	87861487	87863754	Peak_16241	1000	heart right ventricle
chr10	87861487	87863754	Peak_168379	115	heart right ventricle
chr10	87861487	87863754	Peak_23198	1000	heart right ventricle
chr10	87861487	87863754	Peak_3692	1000	heart right ventricle
chr10	87861487	87863754	Peak_40394	1000	heart right ventricle
chr10	87872928	87873316	Peak_255390	50	heart right ventricle
chr10	87916146	87916356	Peak_182833	97	heart right ventricle
chr10	87918586	87918752	Peak_155280	135	heart right ventricle
chr10	87922045	87922371	Peak_197363	85	heart right ventricle
chr10	87947495	87948170	Peak_170940	113	heart right ventricle
chr10	87947495	87948170	Peak_247151	53	heart right ventricle
chr10	87948480	87948892	Peak_104986	274	heart right ventricle
chr10	87961421	87961748	Peak_79100	430	heart right ventricle
chr10	88012350	88013117	Peak_207069	76	heart right ventricle
chr10	88012350	88013117	Peak_81151	413	heart right ventricle
chr10	88027513	88027936	Peak_48411	844	heart right ventricle
chr10	88041454	88041961	Peak_103878	278	heart right ventricle
chr10	88042563	88043197	Peak_63467	591	heart right ventricle
chr10	88045588	88046472	Peak_172600	110	heart right ventricle
chr10	88045588	88046472	Peak_83955	393	heart right ventricle
chr10	88045588	88046472	Peak_86959	370	heart right ventricle
chr10	88057818	88058076	Peak_190781	91	heart right ventricle
chr10	88059226	88059586	Peak_87217	370	heart right ventricle
chr10	88062428	88062718	Peak_139802	164	heart right ventricle
chr10	88064576	88065195	Peak_107013	265	heart right ventricle
chr10	88064576	88065195	Peak_115301	232	heart right ventricle
chr10	88066419	88066585	Peak_152967	138	heart right ventricle
chr10	88066907	88067339	Peak_88049	363	heart right ventricle
chr10	88067802	88068025	Peak_138508	168	heart right ventricle
chr10	88081557	88081945	Peak_188889	91	heart right ventricle
chr10	88081557	88081945	Peak_229356	62	heart right ventricle
chr10	88089568	88089864	Peak_97328	311	heart right ventricle
chr10	88091626	88092076	Peak_188413	92	heart right ventricle
chr10	88091626	88092076	Peak_205872	77	heart right ventricle
chr10	88092852	88093299	Peak_55608	704	heart right ventricle
chr10	88106413	88106769	Peak_157258	131	heart right ventricle
chr10	88108243	88108666	Peak_143662	155	heart right ventricle
chr10	88113333	88113714	Peak_136470	172	heart right ventricle
chr10	88114391	88114722	Peak_50535	799	heart right ventricle
chr10	88147081	88147846	Peak_112619	243	heart right ventricle
chr10	88147081	88147846	Peak_29464	1000	heart right ventricle
chr10	88148145	88148398	Peak_168918	114	heart right ventricle
chr10	88157778	88158176	Peak_207070	76	heart right ventricle
chr10	88157778	88158176	Peak_90927	346	heart right ventricle
chr10	88158310	88158564	Peak_134816	175	heart right ventricle
chr10	88165784	88166214	Peak_221347	66	heart right ventricle
chr10	88165784	88166214	Peak_267485	45	heart right ventricle
chr10	88194030	88194373	Peak_94460	326	heart right ventricle
chr10	88196369	88196737	Peak_79865	424	heart right ventricle
chr10	88218398	88218683	Peak_143663	155	heart right ventricle
chr10	88226040	88226609	Peak_54921	717	heart right ventricle
chr10	88226040	88226609	Peak_98140	306	heart right ventricle
chr10	88227165	88228008	Peak_22995	1000	heart right ventricle
chr10	88227165	88228008	Peak_256078	49	heart right ventricle
chr10	88227165	88228008	Peak_89390	354	heart right ventricle
chr10	88232167	88232784	Peak_65033	571	heart right ventricle
chr10	88232954	88233431	Peak_148579	146	heart right ventricle
chr10	88232954	88233431	Peak_266559	45	heart right ventricle
chr10	88233941	88234710	Peak_106819	266	heart right ventricle
chr10	88233941	88234710	Peak_135674	174	heart right ventricle
chr10	88238002	88238496	Peak_136960	170	heart right ventricle
chr10	88238002	88238496	Peak_138960	166	heart right ventricle
chr10	88243272	88243519	Peak_60205	634	heart right ventricle
chr10	88243681	88244541	Peak_11509	1000	heart right ventricle
chr10	88243681	88244541	Peak_9095	1000	heart right ventricle
chr10	88246002	88246523	Peak_36949	1000	heart right ventricle
chr10	88246002	88246523	Peak_91362	344	heart right ventricle
chr10	88255853	88257269	Peak_144921	154	heart right ventricle
chr10	88255853	88257269	Peak_146454	150	heart right ventricle
chr10	88255853	88257269	Peak_177400	104	heart right ventricle
chr10	88255853	88257269	Peak_18496	1000	heart right ventricle
chr10	88266313	88266544	Peak_221348	66	heart right ventricle
chr10	88270896	88271674	Peak_140170	163	heart right ventricle
chr10	88270896	88271674	Peak_235181	59	heart right ventricle
chr10	88271771	88272221	Peak_56017	698	heart right ventricle
chr10	88286089	88286422	Peak_207071	76	heart right ventricle
chr10	88343661	88344224	Peak_96708	313	heart right ventricle
chr10	88346848	88347373	Peak_229358	62	heart right ventricle
chr10	88387141	88387864	Peak_25923	1000	heart right ventricle
chr10	88388399	88388661	Peak_206019	77	heart right ventricle
chr10	88389508	88389771	Peak_83248	396	heart right ventricle
chr10	88415575	88415924	Peak_67084	547	heart right ventricle
chr10	88428422	88428842	Peak_169377	113	heart right ventricle
chr10	88428422	88428842	Peak_213970	71	heart right ventricle
chr10	88459643	88459845	Peak_194620	86	heart right ventricle
chr10	88474612	88475452	Peak_149182	145	heart right ventricle
chr10	88474612	88475452	Peak_80650	417	heart right ventricle
chr10	88477666	88477997	Peak_110802	250	heart right ventricle
chr10	88478328	88478712	Peak_177590	103	heart right ventricle
chr10	88538137	88538475	Peak_121091	213	heart right ventricle
chr10	88541228	88541871	Peak_296849	36	heart right ventricle
chr10	88541228	88541871	Peak_53674	740	heart right ventricle
chr10	88542235	88542803	Peak_191768	90	heart right ventricle
chr10	88553166	88553663	Peak_39087	1000	heart right ventricle
chr10	88555190	88555471	Peak_175491	107	heart right ventricle
chr10	87817755	87818820	Peak_14762	954	sigmoid colon
chr10	87817755	87818820	Peak_45229	204	sigmoid colon
chr10	87817755	87818820	Peak_86189	75	sigmoid colon
chr10	87817755	87818820	Peak_88682	74	sigmoid colon
chr10	87850778	87851104	Peak_35743	289	sigmoid colon
chr10	87861662	87862900	Peak_116798	54	sigmoid colon
chr10	87861662	87862900	Peak_19627	662	sigmoid colon
chr10	87861662	87862900	Peak_52936	160	sigmoid colon
chr10	87861662	87862900	Peak_7170	1000	sigmoid colon
chr10	87863173	87863771	Peak_18157	733	sigmoid colon
chr10	87863173	87863771	Peak_25707	458	sigmoid colon
chr10	87863875	87864083	Peak_214442	34	sigmoid colon
chr10	88042813	88042998	Peak_102479	63	sigmoid colon
chr10	88058617	88058830	Peak_119055	53	sigmoid colon
chr10	88095014	88095638	Peak_188804	37	sigmoid colon
chr10	88095014	88095638	Peak_22681	543	sigmoid colon
chr10	88131615	88132193	Peak_46048	199	sigmoid colon
chr10	88147509	88147702	Peak_119056	53	sigmoid colon
chr10	88152864	88153080	Peak_112624	57	sigmoid colon
chr10	88157954	88158484	Peak_43266	218	sigmoid colon
chr10	88157954	88158484	Peak_53479	158	sigmoid colon
chr10	88210137	88210639	Peak_251864	27	sigmoid colon
chr10	88245916	88246529	Peak_28838	391	sigmoid colon
chr10	88245916	88246529	Peak_85785	76	sigmoid colon
chr10	88256213	88256500	Peak_163500	42	sigmoid colon
chr10	88303669	88303947	Peak_151450	43	sigmoid colon
chr10	88317839	88318193	Peak_107879	58	sigmoid colon
chr10	88387194	88387531	Peak_43099	220	sigmoid colon
chr10	88421449	88421959	Peak_133383	48	sigmoid colon
chr10	88421449	88421959	Peak_151451	43	sigmoid colon
chr10	88475199	88475397	Peak_173777	39	sigmoid colon
chr10	87817570	87818815	Peak_109882	52	stomach
chr10	87817570	87818815	Peak_167966	39	stomach
chr10	87817570	87818815	Peak_45698	131	stomach
chr10	87817570	87818815	Peak_85165	67	stomach
chr10	87817570	87818815	Peak_9131	747	stomach
chr10	87842308	87842639	Peak_26145	246	stomach
chr10	87850836	87851095	Peak_51358	114	stomach
chr10	87861580	87861860	Peak_32431	193	stomach
chr10	87861996	87863904	Peak_12712	545	stomach
chr10	87861996	87863904	Peak_18667	359	stomach
chr10	87861996	87863904	Peak_274292	24	stomach
chr10	87861996	87863904	Peak_44806	134	stomach
chr10	87861996	87863904	Peak_45406	132	stomach
chr10	87861996	87863904	Peak_5500	1000	stomach
chr10	88028728	88028985	Peak_61214	93	stomach
chr10	88080224	88080524	Peak_50452	117	stomach
chr10	88089523	88089878	Peak_55900	104	stomach
chr10	88110437	88110633	Peak_96419	59	stomach
chr10	88114423	88114874	Peak_53912	108	stomach
chr10	88131665	88132174	Peak_21252	310	stomach
chr10	88202447	88202823	Peak_150229	41	stomach
chr10	88234432	88234657	Peak_98774	57	stomach
chr10	88235394	88235574	Peak_195186	36	stomach
chr10	88236157	88236412	Peak_41110	147	stomach
chr10	88243669	88244482	Peak_30986	203	stomach
chr10	88243669	88244482	Peak_46129	129	stomach
chr10	88254178	88254408	Peak_46218	129	stomach
chr10	88346232	88346982	Peak_211564	32	stomach
chr10	88346232	88346982	Peak_278315	23	stomach
chr10	88346232	88346982	Peak_99406	57	stomach
chr10	88385384	88385862	Peak_11553	600	stomach
chr10	88387146	88387436	Peak_31947	196	stomach
chr10	88474454	88474888	Peak_26974	237	stomach
chr10	88541420	88541633	Peak_47746	124	stomach
chr10	87817938	87818520	Peak_46969	59	prostate gland
chr10	87817938	87818520	Peak_7811	230	prostate gland
chr10	87818599	87818752	Peak_86148	47	prostate gland
chr10	87850830	87851293	Peak_23833	89	prostate gland
chr10	87861578	87861860	Peak_12807	151	prostate gland
chr10	87862014	87862682	Peak_2215	558	prostate gland
chr10	87862966	87863786	Peak_13844	141	prostate gland
chr10	87862966	87863786	Peak_43428	63	prostate gland
chr10	87862966	87863786	Peak_6695	262	prostate gland
chr10	88042493	88043008	Peak_26341	83	prostate gland
chr10	88042493	88043008	Peak_30055	76	prostate gland
chr10	88089588	88089841	Peak_58642	55	prostate gland
chr10	88131611	88132169	Peak_10162	184	prostate gland
chr10	88152691	88152904	Peak_42214	64	prostate gland
chr10	88178662	88178884	Peak_99439	43	prostate gland
chr10	88202656	88202921	Peak_132758	38	prostate gland
chr10	88239217	88239405	Peak_227207	24	prostate gland
chr10	88346624	88346998	Peak_39167	65	prostate gland
chr10	88387241	88387459	Peak_21037	98	prostate gland
chr10	88460833	88461011	Peak_50568	57	prostate gland
chr10	88489102	88489550	Peak_50569	57	prostate gland
chr10	87817478	87818815	Peak_34438	509	mucosa of urinary bladder
chr10	87817478	87818815	Peak_81153	158	mucosa of urinary bladder
chr10	87817478	87818815	Peak_9084	1000	mucosa of urinary bladder
chr10	87842193	87842632	Peak_16590	1000	mucosa of urinary bladder
chr10	87843145	87843359	Peak_77487	170	mucosa of urinary bladder
chr10	87850697	87851079	Peak_45239	359	mucosa of urinary bladder
chr10	87861543	87863756	Peak_11124	1000	mucosa of urinary bladder
chr10	87861543	87863756	Peak_12571	1000	mucosa of urinary bladder
chr10	87861543	87863756	Peak_1629	1000	mucosa of urinary bladder
chr10	87861543	87863756	Peak_23938	789	mucosa of urinary bladder
chr10	87861543	87863756	Peak_24492	769	mucosa of urinary bladder
chr10	87861543	87863756	Peak_60339	244	mucosa of urinary bladder
chr10	87861543	87863756	Peak_90589	133	mucosa of urinary bladder
chr10	88041964	88043028	Peak_23767	795	mucosa of urinary bladder
chr10	88041964	88043028	Peak_61483	238	mucosa of urinary bladder
chr10	88041964	88043028	Peak_74077	181	mucosa of urinary bladder
chr10	88064587	88065248	Peak_114639	95	mucosa of urinary bladder
chr10	88064587	88065248	Peak_206211	51	mucosa of urinary bladder
chr10	88080216	88080444	Peak_80197	160	mucosa of urinary bladder
chr10	88082851	88083072	Peak_81031	159	mucosa of urinary bladder
chr10	88086638	88086973	Peak_162605	64	mucosa of urinary bladder
chr10	88091455	88092066	Peak_34101	516	mucosa of urinary bladder
chr10	88095423	88095606	Peak_123206	87	mucosa of urinary bladder
chr10	88108445	88108692	Peak_120784	88	mucosa of urinary bladder
chr10	88110394	88110659	Peak_115892	93	mucosa of urinary bladder
chr10	88131684	88132171	Peak_77163	171	mucosa of urinary bladder
chr10	88152415	88153173	Peak_34383	510	mucosa of urinary bladder
chr10	88209868	88210568	Peak_116261	93	mucosa of urinary bladder
chr10	88209868	88210568	Peak_138192	75	mucosa of urinary bladder
chr10	88209868	88210568	Peak_165407	62	mucosa of urinary bladder
chr10	88243885	88244485	Peak_171213	61	mucosa of urinary bladder
chr10	88243885	88244485	Peak_57357	261	mucosa of urinary bladder
chr10	88246002	88246511	Peak_100089	115	mucosa of urinary bladder
chr10	88254080	88254489	Peak_36487	475	mucosa of urinary bladder
chr10	88270896	88272160	Peak_100844	113	mucosa of urinary bladder
chr10	88270896	88272160	Peak_104516	107	mucosa of urinary bladder
chr10	88270896	88272160	Peak_136052	76	mucosa of urinary bladder
chr10	88270896	88272160	Peak_153920	67	mucosa of urinary bladder
chr10	88270896	88272160	Peak_97917	119	mucosa of urinary bladder
chr10	88281935	88282246	Peak_93279	127	mucosa of urinary bladder
chr10	88385498	88386439	Peak_144473	71	mucosa of urinary bladder
chr10	88385498	88386439	Peak_25520	734	mucosa of urinary bladder
chr10	88387109	88387473	Peak_21833	876	mucosa of urinary bladder
chr10	88439924	88440308	Peak_154905	66	mucosa of urinary bladder
chr10	88456592	88457167	Peak_113910	96	mucosa of urinary bladder
chr10	88456592	88457167	Peak_188950	55	mucosa of urinary bladder
chr10	88457686	88458085	Peak_65928	214	mucosa of urinary bladder
chr10	88538060	88538317	Peak_131578	79	mucosa of urinary bladder
chr10	88541258	88541633	Peak_116262	93	mucosa of urinary bladder
chr10	88553219	88553515	Peak_32283	551	mucosa of urinary bladder
chr10	87817703	87818660	Peak_10947	843	gastrocnemius medialis
chr10	87817703	87818660	Peak_33634	213	gastrocnemius medialis
chr10	87850790	87851056	Peak_50473	117	gastrocnemius medialis
chr10	87861613	87862701	Peak_45038	139	gastrocnemius medialis
chr10	87861613	87862701	Peak_51106	116	gastrocnemius medialis
chr10	87861613	87862701	Peak_9643	948	gastrocnemius medialis
chr10	87863023	87864108	Peak_19612	447	gastrocnemius medialis
chr10	87863023	87864108	Peak_27673	283	gastrocnemius medialis
chr10	87863023	87864108	Peak_65038	83	gastrocnemius medialis
chr10	87863023	87864108	Peak_99116	53	gastrocnemius medialis
chr10	87948647	87948876	Peak_66731	79	gastrocnemius medialis
chr10	87961318	87961754	Peak_46166	134	gastrocnemius medialis
chr10	88042433	88043262	Peak_24822	329	gastrocnemius medialis
chr10	88042433	88043262	Peak_39683	167	gastrocnemius medialis
chr10	88091697	88091994	Peak_81849	65	gastrocnemius medialis
